Risk_ID,Category,Risk_Title,Description,Likelihood,Consequence,Risk_Level,Mitigation,Residual_Risk,Owner,Reference_Doc
R-001,Structural,Pontoon fatigue crack,Fatigue crack at column-pontoon connection bracket due to wave-induced cyclic loading,3-Possible,4-Major,HIGH,Weld toe grinding; DFF=10 at critical joints; regular inspection,MODERATE,Structural Lead,05-structural-design.md
R-002,Structural,Moon pool edge stress concentration,High SCF at corners of open channel leading to crack initiation,3-Possible,3-Moderate,MODERATE,5 m corner radius; 40 mm doubler plates; post-weld treatment,LOW,Structural Lead,06-moon-pool-design.md
R-003,Structural,Gantry beam overload,Strand jack gantry beam exceeds design load during dynamic lift,2-Unlikely,5-Catastrophic,HIGH,Utilization ratio 0.24; load cells on each jack with auto-stop at 110%,LOW,Lift System Lead,07-heavy-lift-system.md
R-004,Structural,Ice loading exceeds design,Multi-year ice thicker than 1.5 m contacts hull,2-Unlikely,4-Major,MODERATE,Ice management vessels; real-time ice monitoring; route planning,LOW,Marine Ops,02-environmental-design-basis.md
R-005,Hydrodynamic,Pitch resonance in wave band,Natural pitch period 15.7 s within wave energy band,4-Likely,3-Moderate,HIGH,Mass redistribution to increase kyy; column base damping plates,MODERATE,Naval Architect,03-hydrodynamic-analysis.md
R-006,Hydrodynamic,Moon pool piston resonance,Water column oscillation at Tn=21.6 s excited by long-period swell,3-Possible,3-Moderate,MODERATE,6 perforated damping plates; end barriers; active pump control,LOW,Naval Architect,06-moon-pool-design.md
R-007,Hydrodynamic,Longitudinal standing wave in channel,Wave resonance n=2 at T=9.2 s amplifies wave action in channel,3-Possible,4-Major,HIGH,End cofferdams; operational heading control to avoid beam seas,MODERATE,Naval Architect,06-moon-pool-design.md
R-008,Hydrodynamic,Parametric roll,Roll excitation at 2× roll natural period under specific wave conditions,2-Unlikely,4-Major,MODERATE,Anti-roll tanks; DP heading control; Tn_roll/Tp ratio monitoring,LOW,Naval Architect,03-hydrodynamic-analysis.md
R-009,Heavy Lift,Strand jack failure (single),One strand jack fails during lift operation,3-Possible,2-Minor,MODERATE,27 remaining jacks redistribute load; hot standby units available,LOW,Lift System Lead,07-heavy-lift-system.md
R-010,Heavy Lift,Multiple strand jack failure (same side),Two or more strand jacks on one side fail simultaneously,1-Rare,5-Catastrophic,HIGH,Independent hydraulic circuits; DP3 separation philosophy for power,MODERATE,Lift System Lead,07-heavy-lift-system.md
